experiment,model,features,n_added_features,oof_auc,log_loss,delta_vs_raw_lightgbm,mean_fold_auc,std_fold_auc,fit_seconds,predict_seconds,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc
full_raw_control,LightGBM,,0,0.9606037579466015,0.2320119183116999,0.0,0.9606048423752365,0.0007687492970900694,0.0,0.0,0.9596379065448772,0.960520098193897,0.9610287033469563,0.9616416000653054,0.9601959037251456
drop_age,LightGBM,age,1,0.9602823073450436,0.23706007057933332,-0.00032145060155786,0.9602835897610251,0.0009861528346925157,12.276417790009873,1.4054037489986513,0.9593340074333068,0.9592758306725221,0.9608657403945368,0.9615577985137135,0.9603845717910465
drop_daily_screen_time_hours,LightGBM,daily_screen_time_hours,1,0.9492175168707127,0.2737318515261132,-0.011386241075888814,0.9492164659238999,0.0010524342320272805,12.166137083986541,1.3238105839991476,0.9494909483638878,0.9477075632444196,0.9497185489196511,0.9504652718130152,0.948699997278525
drop_social_media_hours,LightGBM,social_media_hours,1,0.953458449386142,0.253818040551797,-0.0071453085604594735,0.9534620331281486,0.0009702231984566289,12.443243540008552,1.453198750008596,0.9526357778463775,0.9525464529461202,0.9536353588272024,0.9549477843112644,0.9535447917097789
drop_gaming_hours,LightGBM,gaming_hours,1,0.9593746490857421,0.23798037521465373,-0.0012291088608593626,0.9593773594445789,0.00046565468793330854,12.217675874999259,1.3795909569889773,0.9591029367546791,0.9590403242142618,0.9595420136055329,0.960125884548799,0.9590756380996212
drop_work_study_hours,LightGBM,work_study_hours,1,0.9587311739931106,0.23958771981297897,-0.0018725839534908806,0.9587351717960365,0.0008289517617802731,12.322666333988309,1.48539354201057,0.9574100910911566,0.958885186481509,0.9594010193445954,0.9594354805545048,0.9585440815084164
drop_sleep_hours,LightGBM,sleep_hours,1,0.9601957788215336,0.23586405898637705,-0.0004079791250678477,0.960195736869864,0.0008874596944874412,12.201524626056198,1.3970511670049746,0.9592272305577503,0.9594624730207748,0.9607247727741564,0.9613767159228875,0.9601874920737508
drop_notifications_per_day,LightGBM,notifications_per_day,1,0.9519210376084667,0.26270233681214744,-0.008682720338134775,0.9519206722039485,0.001367904757807844,11.992940457013901,1.2278763750218786,0.950872573963863,0.9501925501455303,0.9526734728393513,0.9535592454866972,0.9523055185843012
drop_app_opens_per_day,LightGBM,app_opens_per_day,1,0.9531316814149401,0.26222022417412955,-0.007472076531661376,0.9531336196871969,0.0013701880317447445,12.083942083991133,1.278221792948898,0.9521839817786404,0.9512469208574416,0.9540174673836899,0.9545346717280325,0.9536850566881796
drop_weekend_screen_time,LightGBM,weekend_screen_time,1,0.9502871960779047,0.271078254598025,-0.010316561868696783,0.9502989107904938,0.0007999214862171539,12.134586915984983,1.3261562510451768,0.9499177510220235,0.94938359376882,0.9505931083027541,0.9500973501143928,0.9515027507444789
drop_gender,LightGBM,gender,1,0.9606300638048746,0.2322825394589505,2.6305858273123484e-05,0.9606298843973218,0.0008032263986017667,13.256254208972678,1.5411712510394864,0.9597260785433069,0.9601712034349431,0.9612501268455244,0.9616693153786939,0.9603326977841402
drop_stress_level,LightGBM,stress_level,1,0.960658919129074,0.23252867701462604,5.516118247250734e-05,0.9606621814901299,0.0005965930166879789,13.327669625054114,1.5643985820061062,0.9600095161846339,0.960140720294522,0.9608773116571248,0.9614731017125397,0.9608102576018294
drop_academic_work_impact,LightGBM,academic_work_impact,1,0.9605453760715039,0.23317145079002904,-5.838187509754622e-05,0.9605459494623065,0.000849304241131511,12.331109542021295,1.42251741598011,0.9595357227551009,0.9601431472492823,0.9611731154645224,0.961646106378985,0.9602316554636424
