experiment,model,features,n_added_features,oof_auc,log_loss,delta_vs_raw_lightgbm,mean_fold_auc,std_fold_auc,fit_seconds,predict_seconds,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc
raw_control_no_explicit_indicators,LightGBM,,0,0.9606037579466015,0.2320119183116999,0.0,0.9606048423752365,0.0007687492970900694,0.0,0.0,0.9596379065448772,0.960520098193897,0.9610287033469563,0.9616416000653054,0.9601959037251456
missing_indicators_all,LightGBM,age|daily_screen_time_hours|social_media_hours|gaming_hours|work_study_hours|sleep_hours|notifications_per_day|app_opens_per_day|weekend_screen_time|gender|stress_level|academic_work_impact,12,0.9605947249220679,0.23356271533652218,-9.033024533589007e-06,0.960595552944287,0.0008574679552615896,13.868905708019156,1.4400243749842048,0.9599426932944415,0.9596467475309318,0.960872315664632,0.9618325765784941,0.9606834316529358
missing_indicators_meaningful,LightGBM,age|sleep_hours|app_opens_per_day,3,0.9606037579466015,0.2320119183116999,0.0,0.9606048423752365,0.0007687492970900694,13.291846916952636,1.416195332974894,0.9596379065448772,0.960520098193897,0.9610287033469563,0.9616416000653054,0.9601959037251456
individual_notifications_per_open,LightGBM,notifications_per_open,1,0.960590722076312,0.23169121892704636,-1.3035870289446194e-05,0.9605930031076781,0.0007101631455004506,12.806691584031796,1.4773804169672076,0.9597123490150069,0.9602362568846985,0.9608957857418015,0.961601641259269,0.960518982637615
individual_opens_per_screen_hour,LightGBM,opens_per_screen_hour,1,0.9605765805496033,0.23203478375853714,-2.717739699820143e-05,0.9605805985859798,0.0006130019255725617,13.795501334039727,1.5663810419791844,0.9598411463408418,0.9601674072824027,0.9609722550508945,0.9613749902490804,0.9605471940066794
individual_notifications_per_screen_hour,LightGBM,notifications_per_screen_hour,1,0.9600512614708964,0.24281349484687498,-0.0005524964757050999,0.9600528948151872,0.0011324473822059893,13.692353291029576,1.5210575409873854,0.9590476266447084,0.9600194003387925,0.9611773693272074,0.9612037612392024,0.9588163165260257
individual_weekend_vs_daily_screen,LightGBM,weekend_vs_daily_screen,1,0.9604109239447733,0.23385144960658721,-0.00019283400182812382,0.9604106888769689,0.0008200677006681795,13.725206541072112,1.5492682489566505,0.9593518810905681,0.9602189924081781,0.9603057344429857,0.9616373139802321,0.9605395224628803
individual_total_entertainment_hours,LightGBM,total_entertainment_hours,1,0.9606113748475664,0.232120061702372,7.616900964957374e-06,0.9606143518490917,0.0005970579793784183,13.09696954197716,1.488924289966235,0.9597382475692544,0.9606601095451339,0.9609536997759482,0.9613184161081008,0.9604012862470213
individual_leisure_screen_proxy,LightGBM,leisure_screen_proxy,1,0.9607973491608738,0.2337278412203376,0.00019359121427231507,0.9607981940851641,0.0006279483839329236,12.649616667011287,1.4805530830053613,0.9601394680614739,0.9606522833105886,0.9606265027359517,0.9618413268597947,0.9607313894580117
individual_weekend_daily_screen_gap,LightGBM,weekend_daily_screen_gap,1,0.9604140664713071,0.23397535384842502,-0.00018969147529435126,0.960412701823862,0.0010130776088556912,12.624293792032404,1.4791123329778202,0.9589648961703756,0.9599539556534256,0.960884034972602,0.961653108659154,0.9606075136637526
individual_entertainment_share_of_screen,LightGBM,entertainment_share_of_screen,1,0.9606242267657019,0.2334257895058128,2.0468819100449842e-05,0.9606260365618855,0.0008216756307487942,12.517348083027173,1.4152467089588754,0.959650865780495,0.9607803265817955,0.9601221431996906,0.9618335924717418,0.960743254775705
combination_all_positive,LightGBM,leisure_screen_proxy|entertainment_share_of_screen|total_entertainment_hours,3,0.960640496593104,0.23441574139326476,3.673864650255432e-05,0.9606432349663743,0.0006858919082337098,13.432344750035554,1.5174208339885809,0.9596102752126736,0.9606468126087387,0.9606341443894932,0.9615336025447903,0.9607913400761758
combination_positive_ratios,LightGBM,entertainment_share_of_screen,1,0.9606242267657019,0.2334257895058128,2.0468819100449842e-05,0.9606260365618855,0.0008216756307487942,13.022584874008317,1.5467834589944687,0.959650865780495,0.9607803265817955,0.9601221431996906,0.9618335924717418,0.960743254775705
