feature,importance,importance_normalized
notifications_per_day,1645,0.1827777777777778
app_opens_per_day,1643,0.18255555555555555
daily_screen_time_hours,1236,0.13733333333333334
weekend_screen_time,1140,0.12666666666666668
social_media_hours,1037,0.11522222222222223
work_study_hours,780,0.08666666666666667
gaming_hours,687,0.07633333333333334
sleep_hours,471,0.052333333333333336
age,264,0.029333333333333333
gender,35,0.0038888888888888888
academic_work_impact,32,0.0035555555555555557
stress_level,30,0.0033333333333333335
