fold_seed,lightgbm_weight,xgboost_weight,oof_auc,log_loss
7,0.3,0.7,0.9642200150603124,0.2187966822535086
7,0.4,0.6,0.9642370826700036,0.2187844033180213
7,0.5,0.5,0.9642110894507244,0.2188958526586223
21,0.3,0.7,0.9642035516089456,0.2188645067214905
21,0.4,0.6,0.9642244301454278,0.2188428785935716
21,0.5,0.5,0.9642029524945764,0.2189434013975406
84,0.3,0.7,0.9641907696363698,0.2189089876237414
84,0.4,0.6,0.9642125407196026,0.2188837997421571
84,0.5,0.5,0.9641902206063502,0.2189843288301526
123,0.3,0.7,0.9641944075869384,0.2188863209748849
123,0.4,0.6,0.9642132274891952,0.218871897356
123,0.5,0.5,0.9641889337684004,0.2189805558144668
2026,0.3,0.7,0.9642115644858112,0.2188236431327412
2026,0.4,0.6,0.9642324269871824,0.2188031158973017
2026,0.5,0.5,0.9642094075502664,0.2189084931646205
